,gene,labels,Oligo_2_1,Oligo_2_3_2,log2FC,pval,log2FCsc,Oligo_2_1sqr,Oligo_2_3_2sqr,fc,log2fcsqr,select
25,ARL15,,1.06741217094112,1.05632963623921,-0.0110825347019068,5.10E-13,0.0664077149615473,1.13936874267323,1.11583230039726,0.979342559265975,-0.030114513801189,
67,CD8A,,1.03316403552864,1.02234438705232,-0.0108196484763201,5.86E-24,0.00576910051000973,1.06742792430982,1.04518804573738,0.979164983353025,-0.0303761292242819,
94,CTLA4,,1.03226046631274,1.02100908336115,-0.0112513829515877,3.66E-29,0.00398227816761395,1.0655616703122,1.04245954830598,0.978319300843985,-0.0316226904842774,
270,PLAC8,,1.08109086331188,1.06885882041824,-0.0122320428936427,1.82E-11,0.0389382752448026,1.16875745473643,1.14245917798587,0.977498944161614,-0.0328329507831027,
290,RORC,,1.02560592611063,1.01299057688969,-0.0126153492209384,8.14E-50,0.00665406385410649,1.05186751567324,1.02614990886731,0.975550526636926,-0.0357114986898808,
299,SEMA3G,,1.02215936138031,1.00950689041681,-0.0126524709635081,5.44E-53,0,1.0448097600574,1.01910416179902,0.975396862432666,-0.0359387632354536,
32,BICC1,,1.04221171876153,1.02885085778292,-0.0133608609786122,3.44E-31,0.00484237142434805,1.08620526672386,1.05853408756065,0.974524907942426,-0.0372290350011332,
303,SLAMF1,,1.05979501061643,1.04593047076875,-0.01386453984768,2.66E-21,0.0060264290535057,1.12316546452748,1.09397054968254,0.974006577154487,-0.0379965804892688,
200,KLRC1,,1.10892142749628,1.09370207913587,-0.0152193483604091,6.21E-15,0,1.22970673236039,1.19618423790613,0.972739439760635,-0.0398746817685525,
235,MSMP,,1.03444829834242,1.02010795968096,-0.0143403386614629,5.39E-41,0.0104002183250861,1.07008328194353,1.04062024940445,0.972466598594489,-0.0402793963254366,
173,ID4,,1.66493130516473,1.64086937367066,-0.0240619314940764,9.45E-06,0.594797491064825,2.77199625091753,2.69245230145034,0.971304452723968,-0.0420045195418054,
17,ANO2,,1.04085442399937,1.02475726313844,-0.0160971608609288,1.25E-43,0.00212338733150261,1.08337793195906,1.05012744835499,0.969308509410056,-0.0449721783098583,
26,ASCL1,,1.16256439551306,1.14332810113739,-0.0192362943756639,7.24E-14,-0.0194920029009743,1.35155597371465,1.30719914685043,0.967180917603948,-0.0481423142682054,
301,SERPINB9,,1.13199974112997,1.11241919355,-0.0195805475799666,1.06E-17,0.00813612667790781,1.28142341391832,1.23747646217843,0.965704581902787,-0.0503461722923703,
310,SLMAP,,1.39409360426625,1.36816736638371,-0.025926237882542,7.56E-13,0.443954136545412,1.94349697745606,1.87188194243734,0.963151455418023,-0.0541654154066457,
93,CTH,,1.05220566308914,1.03231079534074,-0.0198948677483965,8.30E-56,0.0876112694084419,1.10713675743686,1.06566557817703,0.962541954296743,-0.0550786701023461,
97,CX3CR1,,1.22240330751103,1.19860515248939,-0.0237981550216455,1.12E-14,0.110929187629366,1.49426984621391,1.43665431157411,0.961442349395074,-0.0567277425072072,
291,RTKN2,,1.071208979242,1.04984246862511,-0.0213665106168823,8.06E-43,0.0356592266105252,1.14748867720869,1.10216920892887,0.960505520289695,-0.0581341894070942,
281,PTH1R,,1.04788863016098,1.02674499611808,-0.0211436340428961,2.34E-67,0.00752609104213702,1.09807058122066,1.05420528705352,0.960052391059984,-0.0588149575327036,
194,KCNMB1,,1.09908204880977,1.07689661125471,-0.0221854375550585,4.53E-33,0.0287741872836742,1.20798135001588,1.15970631133188,0.960036602648403,-0.0588386833737104,
204,LAMA2,,1.21193906886675,1.18681360351471,-0.0251254653520394,3.41E-19,-0.297889634222851,1.46879630664561,1.40852652948757,0.958966551804807,-0.0604475991297587,
323,TESC,,1.04798223533801,1.02617066886833,-0.0218115664696774,8.74E-81,0.0346098665173136,1.09826676558405,1.05302624164568,0.958807345031225,-0.0606871339608762,
52,CD24,,1.31808256999549,1.29047701767848,-0.0276055523170129,1.94E-11,0.0620586362530167,1.73734166132592,1.66533093315634,0.958551199356715,-0.0610726018720721,
114,DSCAM,,1.06502589118121,1.04257705993848,-0.0224488312427324,6.19E-54,0.0176281327192293,1.13428014888633,1.08696692590997,0.958287885913529,-0.0614689637826697,
339,TTYH1,,2.10663081952473,2.05863837629358,-0.0479924432311511,3.79E-17,1.467997266984,4.43789340977144,4.23799196434867,0.954955780374846,-0.0664941647870742,
332,TNFRSF17,,1.04984910948018,1.02505806278554,-0.0247910466946382,2.99E-103,0.00359738757163374,1.10218315267633,1.05074403208164,0.953329788729053,-0.0689527178355244,
116,EGFL7,,1.03890550452794,1.01435125381516,-0.0245542507127825,1.58E-148,0.0105549261756453,1.07932464733845,1.02890846611639,0.953289141180654,-0.069014231980367,
205,LEPR,,1.10017804146818,1.07416119206686,-0.0260168494013202,1.00E-42,0.120660601851049,1.21039172292876,1.1538222665425,0.953263513526527,-0.0690530170508234,
65,CD83,,1.11828410136036,1.09091436490772,-0.0273697364526422,1.64E-39,0.378593846701194,1.25055933135535,1.19009415156201,0.95164949132977,-0.0714977926079609,
33,BNIP3,,1.95541620715506,1.90753761490772,-0.047878592247337,3.23E-17,2.31910086740536,3.82365254320468,3.63869975228783,0.951629289317738,-0.0715284190646542,
220,MDM4,,1.60627012413056,1.56579073078831,-0.04047939334225,4.40E-20,0.527476783661027,2.5801037116744,2.45170061262259,0.950233357492252,-0.0736462421230919,
261,PDE3A,,1.0665586582387,1.03934254884353,-0.0272161093951715,4.31E-82,0.0035564418530079,1.13754737146394,1.08023293383657,0.949615779469815,-0.0745841868939472,
246,NOSTRIN,,1.05280013213285,1.02553801900186,-0.0272621131309925,5.22E-103,0,1.10838811821895,1.05172822841826,0.948880821736223,-0.0757011969847871,
27,ATP10A,,1.05155300260526,1.02367780043159,-0.0278752021736661,1.86E-118,0,1.10576371728814,1.04791623909646,0.947685498007161,-0.0775197338074207,
145,GAP43,,1.88301015244811,1.83175592983213,-0.0512542226159736,5.45E-15,0.197501674033043,3.54572723422265,3.35532978647517,0.94630228577376,-0.0796269847638397,
80,CLEC9A,,1.05926865124694,1.02863623629167,-0.0306324149552739,5.19E-128,0.00112084908080396,1.12205007551451,1.05809250661229,0.942999363131907,-0.0846712983313703,
139,FLT1,,1.05835013429058,1.02747300362678,-0.0308771306637929,4.10E-112,0.00661962536717546,1.12010500675289,1.05570077318184,0.942501610846509,-0.0854330107678279,
155,GRID2,,1.09697945324068,1.06444667554247,-0.0325327776982163,1.85E-72,0.134147325637449,1.20336392083222,1.13304672507342,0.941566142592862,-0.0868656508826926,
92,CSMD1,,1.05004182199606,1.0170502136821,-0.0329916083139623,5.21E-215,-0.00864700331695466,1.10258782794081,1.03439113715081,0.938148518365775,-0.0921117609008683,
121,ENPP2,,3.89982877526408,3.76699848288187,-0.132830292382205,3.04E-54,-0.128748821130348,15.2086644763777,14.1902775700343,0.933039031275547,-0.0999906611309508,
120,ENAH,,2.3464757153309,2.26339531186752,-0.0830804034633825,1.41E-43,1.49257100790055,5.50594828263766,5.12295833778387,0.930440693374926,-0.104013899574117,
13,ALDOA,,2.01274463674005,1.941006297513,-0.071738339227053,5.54E-35,2.700212477752,4.05114097272584,3.76750544698512,0.9299862612409,-0.104718691554895,
222,MET,,1.19436320197461,1.15167802339644,-0.0426851785781679,1.65E-62,0.826750530047328,1.42650345823104,1.32636226957433,0.929799547222344,-0.105008371568922,
9,ADIRF,,1.06213631225557,1.02341159323287,-0.0387247190226976,2.98E-240,0.00491561743358453,1.12813354581186,1.04737128916344,0.928410730318014,-0.107164897832794,
105,DCX,,1.08829967119597,1.04602975869379,-0.0422699125021855,9.21E-155,0.0108718514077518,1.18439617432526,1.09417825607299,0.923827921595859,-0.114303944306463,
42,CAVIN2,,1.0699233725495,1.02775279458486,-0.0421705779646384,1.46E-198,0.0157180062602077,1.1447360231277,1.05627580677699,0.922724353419916,-0.1160283607184,
19,AQP1,,1.8981533421856,1.82226422869474,-0.0758891134908599,5.32E-24,-0.060263531083415,3.60298611045036,3.32064691918044,0.921637446658201,-0.117728759389088,
329,TLR4,,1.27956766243389,1.22755202360866,-0.0520156388252346,1.47E-63,0.0401807814115669,1.63729340274653,1.50688397066572,0.920350603097738,-0.119744541332256,
337,TSFM,,1.25104300753768,1.19993587275263,-0.0511071347850467,1.56E-71,0.580345993527052,1.56510860670892,1.43984609871862,0.91996561295915,-0.120348158653006,
11,AKR1C1,,1.12037432537135,1.07328016751872,-0.0470941578526316,8.29E-138,0.00316298851441258,1.25523862895131,1.15193031798901,0.91769826981137,-0.123908207262364,
123,ERMN,,4.1967910408881,4.018775160289,-0.178015880599099,7.83E-76,-0.750074708537896,17.6130550408786,16.1505537889559,0.916964930358283,-0.12506153638403,
193,KCNMA1,,1.33877336788765,1.27861240981449,-0.0601609580731572,9.57E-68,0.8508164380253,1.79231413056524,1.63484969453162,0.912144621666312,-0.132665511265481,
195,KDR,,1.09964323373372,1.04900587935524,-0.0506373543784828,8.53E-200,0.0128429850053154,1.20921524149635,1.10041333492186,0.910022713210383,-0.136025540974875,
316,SOX4,,1.39942737927411,1.33480234870762,-0.0646250305664928,2.69E-50,0.256526618138852,1.958396989862,1.78169731011538,0.909773309159816,-0.136420985282656,
263,PDE7B,,1.09590803866546,1.0451332278411,-0.0507748108243653,1.74E-232,0.000829180463275894,1.20101442921158,1.09230346393756,0.909484047293767,-0.136879762224471,
289,RORA,,1.1499581752265,1.09529862555677,-0.0546595496697251,2.36E-149,0.369894818376091,1.32240380477026,1.19967907914655,0.907195725555983,-0.140514252153202,
312,SMOC1,,1.54448116766012,1.46855094560542,-0.0759302220547036,1.37E-60,0.705633194897544,2.38542207725677,2.15664187983857,0.904092361850993,-0.145457929351135,
